,#Day,Tmax,Tmin,VPD,Rain,Durn,Radn,ETo
2016-01-01,1,34.3,16.3,26.6,0.0,0,29400.0,5.044856905507308
2016-01-02,2,36.5,21.5,31.3,0.0,0,29400.0,5.000654066577744
2016-01-03,3,38.1,23.0,33.9,0.0,0,30000.0,5.289251353866222
2016-01-04,4,32.3,23.6,21.1,0.0,0,20500.0,2.595927653679394
2016-01-05,5,30.3,20.3,17.3,0.0,0,25600.0,3.2742002292893826
2016-01-06,6,35.6,19.1,25.8,0.0,0,30500.0,5.24913285930126
2016-01-07,7,42.8,24.2,48.0,0.0,0,30100.0,6.2492562312452
2016-01-08,8,36.9,28.4,38.9,0.0,0,20900.0,2.8847283234955015
2016-01-09,9,35.7,20.1,28.7,0.0,0,27500.0,4.657996868023678
2016-01-10,10,26.6,21.3,12.1,0.0,0,21200.0,1.912133783495561
2016-01-11,11,27.8,18.0,13.2,0.0,0,23600.0,2.8216779809417014
2016-01-12,12,26.6,19.1,8.1,0.0,0,20300.0,2.1206803811235115
2016-01-13,13,31.1,14.4,24.3,0.0,0,28500.0,4.431818369181664
2016-01-14,14,34.5,15.6,30.3,0.0,0,31200.0,5.454115385191628
2016-01-15,15,36.6,21.0,36.4,0.0,0,30400.0,5.2506104500633075
2016-01-16,16,36.9,25.8,38.1,0.0,0,23600.0,3.6264777200765503
2016-01-17,17,32.5,20.1,21.4,0.0,0,22900.0,3.337128373269379
2016-01-18,18,24.5,19.1,6.7,0.0,0,12700.0,1.096689753690598
2016-01-19,19,26.1,15.9,13.1,0.0,0,22200.0,2.581503897267674
2016-01-20,20,25.6,15.9,7.8,0.0044,1,21500.0,2.4223489678649046
2016-01-21,21,29.2,16.5,12.7,0.0,0,19800.0,2.6916314850931826
2016-01-22,22,30.3,17.0,21.3,0.0,0,29600.0,4.198847151615851
2016-01-23,23,35.7,19.8,30.4,0.0,0,25900.0,4.41443073280071
2016-01-24,24,35.8,21.5,26.1,0.0,0,28800.0,4.747163873258307
2016-01-25,25,32.0,21.3,19.3,0.0,0,24000.0,3.274634966999212
2016-01-26,26,33.8,20.8,22.9,0.0,0,23800.0,3.6317268277691914
2016-01-27,27,34.0,20.7,26.6,0.0,0,23300.0,3.600207193023276
2016-01-28,28,34.5,17.6,28.0,0.0,0,28600.0,4.838012456877483
2016-01-29,29,37.6,19.0,33.8,0.0,0,26700.0,4.981460121461781
2016-01-30,30,26.7,23.4,17.4,0.0,0,15300.0,1.1176021436625385
2016-01-31,31,21.6,18.0,5.4,0.0,0,10400.0,0.6962423457410023
2016-02-01,32,22.9,9.8,9.6,0.0,0,26800.0,3.1084876694905663
2016-02-02,33,27.4,11.4,16.6,0.0,0,30100.0,4.202980992
2016-02-03,34,32.0,16.6,23.6,0.0,0,30200.0,4.6820645656242
2016-02-04,35,34.6,15.1,28.7,0.0,0,30100.0,5.319745255232995
2016-02-05,36,36.3,16.0,29.7,0.0,0,29800.0,5.537467133208511
2016-02-06,37,34.7,21.5,27.2,0.0,0,30000.0,4.694711455291878
2016-02-07,38,39.6,21.0,35.7,0.0,0,28900.0,5.625840178282685
2016-02-08,39,42.8,25.2,46.8,0.0,0,28800.0,5.87308897817449
2016-02-09,40,42.5,26.5,56.9,0.0,0,29700.0,5.830504415999999
2016-02-10,41,41.6,25.3,48.6,0.0,0,28700.0,5.572596114125031
2016-02-11,42,36.5,21.5,27.5,0.0,0,27800.0,4.728509627580316
2016-02-12,43,31.6,18.6,16.2,0.0,0,27500.0,3.9916243316073574
2016-02-13,44,31.9,19.6,22.5,0.0,0,27700.0,3.9701643310578265
2016-02-14,45,31.4,17.9,24.2,0.0,0,25500.0,3.732267459757735
2016-02-15,46,34.0,18.6,27.2,0.0,0,27500.0,4.46600950272982
2016-02-16,47,39.5,21.0,41.6,0.0,0,26700.0,5.178196378909287
2016-02-17,48,34.4,23.6,31.4,0.0,0,26800.0,3.867947083373533
2016-02-18,49,31.2,18.4,19.7,0.0,0,23300.0,3.3324105756085847
2016-02-19,50,30.9,19.8,23.3,0.0,0,21700.0,2.9274536144820233
2016-02-20,51,33.1,19.1,24.9,0.0,0,24100.0,3.7147841149571725
2016-02-21,52,26.8,19.6,10.1,0.0,0,20500.0,2.1163717953205405
2016-02-22,53,24.6,18.0,10.3,0.0024,1,19300.0,1.8192569105220884
2016-02-23,54,24.1,12.8,9.6,0.0,0,20700.0,2.3670398920364213
2016-02-24,55,24.5,12.1,13.0,0.0,0,26100.0,3.1134833740091907
2016-02-25,56,29.5,15.0,20.9,0.0,0,27300.0,3.9069438322801453
2016-02-26,57,37.5,17.8,36.1,0.0,0,26500.0,5.016500659564934
2016-02-27,58,38.5,23.8,38.4,0.0,0,24900.0,4.385293949076298
2016-02-28,59,28.1,22.2,12.1,0.0,0,22900.0,2.2418815115732302
2016-02-29,60,25.4,17.8,10.2,0.0,0,23100.0,2.354523324148757
2016-03-01,61,26.8,15.0,12.0,0.0002,1,25200.0,3.1436957544267314
